Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;CRUZEIRO DO SUL;SAN MARINO PETROLEO LTDA; 07.168.478/0001-74;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL;06/01/2009;2,75;2,33;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;GASOLINA;05/01/2009;3,33;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;ETANOL;05/01/2009;2,85;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;DIESEL;05/01/2009;2,79;2,3175;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;AEROBRAN DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA; 14.411.631/0001-08;AVENIDA GETULIO VARGAS;S/N;ESQUINA COM RUA AMAZONAS;COBAL;69980-000;GASOLINA;07/01/2009;3,3;2,7;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AEROBRAN DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA; 14.411.631/0001-08;AVENIDA GETULIO VARGAS;S/N;ESQUINA COM RUA AMAZONAS;COBAL;69980-000;ETANOL;07/01/2009;2,75;;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AEROBRAN DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA; 14.411.631/0001-08;AVENIDA GETULIO VARGAS;S/N;ESQUINA COM RUA AMAZONAS;COBAL;69980-000;DIESEL;07/01/2009;2,75;2,3175;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;L & S COMÉRCIO VAREJISTA DE COMBUSTÍVEIS LTDA; 05.793.177/0002-97;MARGEM ESQUERDA DO RIO JURUÁ;S/N;PORTO DO ATERRO;LAGOA;69980-000;GASOLINA;06/01/2009;3,32;2,6968;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;L & S COMÉRCIO VAREJISTA DE COMBUSTÍVEIS LTDA; 05.793.177/0002-97;MARGEM ESQUERDA DO RIO JURUÁ;S/N;PORTO DO ATERRO;LAGOA;69980-000;DIESEL;06/01/2009;2,74;2,3329;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;L & S COMÉRCIO VAREJISTA DE COMBUSTÍVEIS LTDA; 05.793.177/0003-78;RUA TARAUACA;400;;COHAB;69980-000;GASOLINA;06/01/2009;3,33;2,7327;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;L & S COMÉRCIO VAREJISTA DE COMBUSTÍVEIS LTDA; 05.793.177/0003-78;RUA TARAUACA;400;;COHAB;69980-000;ETANOL;06/01/2009;2,78;2,2606;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;L & S COMÉRCIO VAREJISTA DE COMBUSTÍVEIS LTDA; 05.793.177/0003-78;RUA TARAUACA;400;;COHAB;69980-000;DIESEL;06/01/2009;2,74;2,3329;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;L & S COMÉRCIO VAREJISTA DE COMBUSTÍVEIS LTDA; 05.793.177/0001-06;AVENIDA CORONEL MANCIO LIMA;90;;CENTRO;69980-000;GASOLINA;06/01/2009;3,33;2,6968;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;L & S COMÉRCIO VAREJISTA DE COMBUSTÍVEIS LTDA; 05.793.177/0001-06;AVENIDA CORONEL MANCIO LIMA;90;;CENTRO;69980-000;ETANOL;06/01/2009;2,78;2,3448;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;L & S COMÉRCIO VAREJISTA DE COMBUSTÍVEIS LTDA; 05.793.177/0001-06;AVENIDA CORONEL MANCIO LIMA;90;;CENTRO;69980-000;DIESEL;06/01/2009;2,74;2,3329;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;ILDEFONÇO CORDEIRO AUTO POSTO LTDA; 05.918.395/0001-20;AVENIDA 25 DE AGOSTO;895-A;LOTES 31 A 34;CENTRO;69980-000;GASOLINA;06/01/2009;3,3;2,71;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;ILDEFONÇO CORDEIRO AUTO POSTO LTDA; 05.918.395/0001-20;AVENIDA 25 DE AGOSTO;895-A;LOTES 31 A 34;CENTRO;69980-000;DIESEL;06/01/2009;2,72;2,5;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0001-11;MARGEM ESQUERDA DO RIO JURUA;S/N;;CENTRO;69065-001;GASOLINA;05/01/2009;3,32;2,71;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0001-11;MARGEM ESQUERDA DO RIO JURUA;S/N;;CENTRO;69065-001;DIESEL;05/01/2009;2,74;2,33;R$ / litro;BRANCA
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;AVENIDA NACOES UNIDAS;23;;AVIARIO;69909-720;GASOLINA;07/01/2009;2,92;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;AVENIDA NACOES UNIDAS;23;;AVIARIO;69909-720;ETANOL;07/01/2009;2,1;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
