Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;CE;SOBRAL;POSTO SAO PEDRO LTDA; 69.709.020/0001-32;AVENIDA SENADOR JOSE ERMIRIO DE MORAES;1065;;DOM JOSE;62015-505;DIESEL;05/01/2009;2,18;1,8971;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;POSTO SAO DOMINGOS LTDA; 69.366.128/0001-70;AVENIDA DOUTOR GUARANY;854;;DERBY CLUB;62040-730;GASOLINA;05/01/2009;2,799;2,399;R$ / litro;COSAN LUBRIFICANTES
NE;CE;SOBRAL;POSTO SAO DOMINGOS LTDA; 69.366.128/0001-70;AVENIDA DOUTOR GUARANY;854;;DERBY CLUB;62040-730;DIESEL;05/01/2009;2,239;1,99;R$ / litro;COSAN LUBRIFICANTES
NE;CE;SOBRAL;ANTONIO PORTELA DE ALBUQUERQUE; 07.820.392/0001-84;RODOVIA BR 222;S/N;KM 249;SANTA CRUZ DO BANABUIU;62011-970;GASOLINA;05/01/2009;2,69;;R$ / litro;SP
NE;CE;SOBRAL;ANTONIO PORTELA DE ALBUQUERQUE; 07.820.392/0001-84;RODOVIA BR 222;S/N;KM 249;SANTA CRUZ DO BANABUIU;62011-970;DIESEL;05/01/2009;2,23;;R$ / litro;SP
NE;CE;SOBRAL;SOBRAL REVENDEDORA DE PETRÓLEO LTDA.; 07.815.616/0001-60;AVENIDA JOHN SANFORD;1485;;JUNCO;62030-000;GASOLINA;05/01/2009;2,79;2,3005;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;SOBRAL REVENDEDORA DE PETRÓLEO LTDA.; 07.815.616/0001-60;AVENIDA JOHN SANFORD;1485;;JUNCO;62030-000;DIESEL;05/01/2009;2,22;1,9272;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;POSTO BRASIL LTDA; 06.560.585/0001-80;RODOVIA BR 222;S/N;KM 221;APRAZÍVEL;62000-000;GASOLINA;05/01/2009;2,75;;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO BRASIL LTDA; 06.560.585/0001-80;RODOVIA BR 222;S/N;KM 221;APRAZÍVEL;62000-000;DIESEL;05/01/2009;2,23;;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO NORDESTE DISTRIBUIDORA E TRANSPORTADORA DE DERIVADOSDE PETROLEO LTDA - EPP; 02.344.540/0001-18;AVENIDA SENADOR FERNANDES TAVORA;1131;;SINHA SABOIA;62050-000;GASOLINA;05/01/2009;2,69;;R$ / litro;IPIRANGA
NE;CE;SOBRAL;POSTO NORDESTE DISTRIBUIDORA E TRANSPORTADORA DE DERIVADOSDE PETROLEO LTDA - EPP; 02.344.540/0001-18;AVENIDA SENADOR FERNANDES TAVORA;1131;;SINHA SABOIA;62050-000;DIESEL;05/01/2009;2,13;;R$ / litro;IPIRANGA
NE;CE;SOBRAL;POSTO PRINCESA DO NORTE LTDA; 01.914.855/0001-90;RUA MENINO DEUS;691;;CENTRO;62010-310;GASOLINA;05/01/2009;2,79;2,3326;R$ / litro;IPIRANGA
NE;CE;SOBRAL;POSTO PRINCESA DO NORTE LTDA; 01.914.855/0001-90;RUA MENINO DEUS;691;;CENTRO;62010-310;DIESEL;05/01/2009;2,23;1,9528;R$ / litro;IPIRANGA
NE;CE;SOBRAL;COMERCIO DE PETROLEO E LUBRIF. SAO DOMINGOS LTDA; 01.492.450/0001-01;RODOVIA BR 222;S/N;KM 232;JABURUNA;62011-970;GASOLINA;07/01/2009;2,799;2,399;R$ / litro;COSAN LUBRIFICANTES
NE;CE;SOBRAL;COMERCIO DE PETROLEO E LUBRIF. SAO DOMINGOS LTDA; 01.492.450/0001-01;RODOVIA BR 222;S/N;KM 232;JABURUNA;62011-970;ETANOL;07/01/2009;2,099;;R$ / litro;COSAN LUBRIFICANTES
NE;CE;SOBRAL;COMERCIO DE PETROLEO E LUBRIF. SAO DOMINGOS LTDA; 01.492.450/0001-01;RODOVIA BR 222;S/N;KM 232;JABURUNA;62011-970;DIESEL;07/01/2009;2,23;1,99;R$ / litro;COSAN LUBRIFICANTES
NE;CE;SOBRAL;GLORIMAR PETROLEO E LUBRIFICANTES LTDA; 01.488.905/0001-15;AVENIDA DOM JOSE;1449;;CENTRO;62011-280;GASOLINA;05/01/2009;2,79;2,39;R$ / litro;RAIZEN
NE;CE;SOBRAL;GLORIMAR PETROLEO E LUBRIFICANTES LTDA; 01.488.905/0001-15;AVENIDA DOM JOSE;1449;;CENTRO;62011-280;DIESEL;05/01/2009;2,23;1,98;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO AUTO SOBRAL LTDA; 00.464.547/0001-48;RODOVIA BR 222;S/N;KM 219;SINHA SABOIA;62050-000;GASOLINA;07/01/2009;2,78;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;POSTO AUTO SOBRAL LTDA; 00.464.547/0001-48;RODOVIA BR 222;S/N;KM 219;SINHA SABOIA;62050-000;DIESEL;07/01/2009;2,22;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;AUTO POSTO APRAZIVEL LTDA; 00.422.849/0001-53;RODOVIA BR 222;S/N;KM 248;SANTA CRUZ DO BANABUIU;00000-000;GASOLINA;05/01/2009;2,79;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;CE;SOBRAL;AUTO POSTO APRAZIVEL LTDA; 00.422.849/0001-53;RODOVIA BR 222;S/N;KM 248;SANTA CRUZ DO BANABUIU;00000-000;DIESEL;05/01/2009;2,23;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AUTO POSTO BJ LTDA; 24.890.881/0001-21;RUA 43 QUADRA 482;44512;CEILANDIA SUL;PEDREGAL;72225-250;GASOLINA;06/01/2009;2,68;;R$ / litro;BRANCA
CO;DF;BRASILIA;AUTO POSTO BJ LTDA; 24.890.881/0001-21;RUA 43 QUADRA 482;44512;CEILANDIA SUL;PEDREGAL;72225-250;ETANOL;06/01/2009;1,87;;R$ / litro;BRANCA
CO;DF;BRASILIA;AUTO POSTO BJ LTDA; 24.890.881/0001-21;RUA 43 QUADRA 482;44512;CEILANDIA SUL;PEDREGAL;72225-250;DIESEL;06/01/2009;2,05;;R$ / litro;BRANCA
CO;DF;BRASILIA;PIONEIRO COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA; 07.822.636/0001-68;QUADRA NB EPNB PLL;1;POSTO 01;NUCLEO BANDEIRANTE;71735-000;GASOLINA;05/01/2009;2,68;2,3643;R$ / litro;RAIZEN
CO;DF;BRASILIA;PIONEIRO COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA; 07.822.636/0001-68;QUADRA NB EPNB PLL;1;POSTO 01;NUCLEO BANDEIRANTE;71735-000;ETANOL;05/01/2009;1,89;1,5152;R$ / litro;RAIZEN
CO;DF;BRASILIA;PIONEIRO COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA; 07.822.636/0001-68;QUADRA NB EPNB PLL;1;POSTO 01;NUCLEO BANDEIRANTE;71735-000;DIESEL;05/01/2009;2,09;1,9936;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO AEROPORTO LTDA; 08.202.116/0001-15;AEROPORTO INTERNACIONAL DE BRASILIA PRES. JK;S/Nº;SETOR DE ESTACIONAMENTO LOTE 05;LAGO SUL;71608-900;GASOLINA;05/01/2009;2,66;2,2491;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO AEROPORTO LTDA; 08.202.116/0001-15;AEROPORTO INTERNACIONAL DE BRASILIA PRES. JK;S/Nº;SETOR DE ESTACIONAMENTO LOTE 05;LAGO SUL;71608-900;ETANOL;05/01/2009;1,84;1,5034;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO AEROPORTO LTDA; 08.202.116/0001-15;AEROPORTO INTERNACIONAL DE BRASILIA PRES. JK;S/Nº;SETOR DE ESTACIONAMENTO LOTE 05;LAGO SUL;71608-900;DIESEL;05/01/2009;2,15;2,0045;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO SÃO MATEUS LTDA; 07.870.568/0001-02;QNM 34 - AREA ESPECIAL;S/N;;TAGUATINGA NORTE;72145-450;GASOLINA;06/01/2009;2,68;2,2204;R$ / litro;CBPI
CO;DF;BRASILIA;AUTO POSTO SÃO MATEUS LTDA; 07.870.568/0001-02;QNM 34 - AREA ESPECIAL;S/N;;TAGUATINGA NORTE;72145-450;ETANOL;06/01/2009;1,89;1,4668;R$ / litro;CBPI
CO;DF;BRASILIA;AUTO POSTO SÃO MATEUS LTDA; 07.870.568/0001-02;QNM 34 - AREA ESPECIAL;S/N;;TAGUATINGA NORTE;72145-450;DIESEL;06/01/2009;2,04;1,9019;R$ / litro;CBPI
CO;DF;BRASILIA;PETROGAMA COMERCIO DE COMBUSTIVEIS LTDA; 07.260.379/0001-18;QUADRA QUADRA 46 LOTE 24 PAG;S/N;SETOR CENTRAL;GAMA;72405-460;GASOLINA;06/01/2009;2,659;2,2258;R$ / litro;CBPI
CO;DF;BRASILIA;PETROGAMA COMERCIO DE COMBUSTIVEIS LTDA; 07.260.379/0001-18;QUADRA QUADRA 46 LOTE 24 PAG;S/N;SETOR CENTRAL;GAMA;72405-460;ETANOL;06/01/2009;1,859;1,5278;R$ / litro;CBPI
CO;DF;BRASILIA;PETROGAMA COMERCIO DE COMBUSTIVEIS LTDA; 07.260.379/0001-18;QUADRA QUADRA 46 LOTE 24 PAG;S/N;SETOR CENTRAL;GAMA;72405-460;DIESEL;06/01/2009;2,099;1,943;R$ / litro;CBPI
CO;DF;BRASILIA;AUTO EIXO 208 NORTE LTDA.; 07.743.777/0001-95;SHC/NORTE SQ 208 BLOCO A PAG;S/N;;ASA NORTE;70853-000;GASOLINA;05/01/2009;2,68;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AUTO EIXO 208 NORTE LTDA.; 07.743.777/0001-95;SHC/NORTE SQ 208 BLOCO A PAG;S/N;;ASA NORTE;70853-000;ETANOL;05/01/2009;1,87;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;PETRONORTE COMBUSTIVEIS LTDA; 06.071.706/0001-20;SETOR DE HABITACOES COLETIVA NORTE (SHCN) SUPERQUADRA;204;BLOCO A PAG;ASA NORTE;70842-000;GASOLINA;05/01/2009;2,68;2,1536;R$ / litro;BRANCA
CO;DF;BRASILIA;PETRONORTE COMBUSTIVEIS LTDA; 06.071.706/0001-20;SETOR DE HABITACOES COLETIVA NORTE (SHCN) SUPERQUADRA;204;BLOCO A PAG;ASA NORTE;70842-000;ETANOL;05/01/2009;1,89;1,3299;R$ / litro;BRANCA
CO;DF;BRASILIA;PETRONORTE COMBUSTIVEIS LTDA; 06.071.706/0001-20;SETOR DE HABITACOES COLETIVA NORTE (SHCN) SUPERQUADRA;204;BLOCO A PAG;ASA NORTE;70842-000;DIESEL;05/01/2009;2,15;1,8881;R$ / litro;BRANCA
CO;DF;BRASILIA;DFM - DERIVADOS DE PETRÓLEO LTDA.; 07.821.726/0001-34;ST SPM/SUL;S/N;LOTE 06 EPIA PARK WAY;CANDANGOLANDIA;71200-000;GASOLINA;05/01/2009;2,68;2,3001;R$ / litro;CBPI
CO;DF;BRASILIA;DFM - DERIVADOS DE PETRÓLEO LTDA.; 07.821.726/0001-34;ST SPM/SUL;S/N;LOTE 06 EPIA PARK WAY;CANDANGOLANDIA;71200-000;ETANOL;05/01/2009;1,89;1,5313;R$ / litro;CBPI
CO;DF;BRASILIA;DFM - DERIVADOS DE PETRÓLEO LTDA.; 07.821.726/0001-34;ST SPM/SUL;S/N;LOTE 06 EPIA PARK WAY;CANDANGOLANDIA;71200-000;DIESEL;05/01/2009;2,15;1,9412;R$ / litro;CBPI
CO;DF;BRASILIA;POSTO 212 SUL LTDA.; 00.595.058/0001-25;SQS-SUPERQUADRA SUL 212 BLOCO A;S/N;PAG/SUL;ASA SUL;70275-000;GASOLINA;05/01/2009;2,68;2,2586;R$ / litro;CBPI
CO;DF;BRASILIA;POSTO 212 SUL LTDA.; 00.595.058/0001-25;SQS-SUPERQUADRA SUL 212 BLOCO A;S/N;PAG/SUL;ASA SUL;70275-000;ETANOL;05/01/2009;1,89;1,533;R$ / litro;CBPI
CO;DF;BRASILIA;POSTO 212 SUL LTDA.; 00.595.058/0001-25;SQS-SUPERQUADRA SUL 212 BLOCO A;S/N;PAG/SUL;ASA SUL;70275-000;DIESEL;05/01/2009;2,15;1,9569;R$ / litro;CBPI
CO;DF;BRASILIA;DISBRAVE COMBUSTÍVEIS LTDA.; 00.543.213/0002-40;SCIA QUADRA 10 CONJUNTO 02 LOTE;8;;GUARÁ;71010-018;GASOLINA;06/01/2009;2,68;;R$ / litro;CBPI
CO;DF;BRASILIA;DISBRAVE COMBUSTÍVEIS LTDA.; 00.543.213/0002-40;SCIA QUADRA 10 CONJUNTO 02 LOTE;8;;GUARÁ;71010-018;ETANOL;06/01/2009;1,89;;R$ / litro;CBPI
CO;DF;BRASILIA;DISBRAVE COMBUSTÍVEIS LTDA.; 00.543.213/0002-40;SCIA QUADRA 10 CONJUNTO 02 LOTE;8;;GUARÁ;71010-018;DIESEL;06/01/2009;2,15;;R$ / litro;CBPI
CO;DF;BRASILIA;AUTO POSTO TANQUE DE OURO LTDA.; 06.936.024/0001-33;STRC-SETOR DE TRANSPORTE RODOVIÁRIO E CARGA SUL TRECHO 01 CONJUNTO A LOTE 01;S/N;;GUARÁ;71225-511;GASOLINA;06/01/2009;2,68;;R$ / litro;BRANCA
CO;DF;BRASILIA;AUTO POSTO TANQUE DE OURO LTDA.; 06.936.024/0001-33;STRC-SETOR DE TRANSPORTE RODOVIÁRIO E CARGA SUL TRECHO 01 CONJUNTO A LOTE 01;S/N;;GUARÁ;71225-511;ETANOL;06/01/2009;1,89;;R$ / litro;BRANCA
CO;DF;BRASILIA;AUTO POSTO TANQUE DE OURO LTDA.; 06.936.024/0001-33;STRC-SETOR DE TRANSPORTE RODOVIÁRIO E CARGA SUL TRECHO 01 CONJUNTO A LOTE 01;S/N;;GUARÁ;71225-511;DIESEL;06/01/2009;2,14;;R$ / litro;BRANCA
CO;DF;BRASILIA;POSTO SAÍDA SUL LTDA.; 07.210.707/0001-71;SPMS CONJUNTO J;S/N;LOTE 01 - EPIA;NÚCLEO BANDEIRANTES;71715-056;GASOLINA;05/01/2009;2,68;2,219;R$ / litro;RAIZEN
CO;DF;BRASILIA;POSTO SAÍDA SUL LTDA.; 07.210.707/0001-71;SPMS CONJUNTO J;S/N;LOTE 01 - EPIA;NÚCLEO BANDEIRANTES;71715-056;ETANOL;05/01/2009;1,89;1,4953;R$ / litro;RAIZEN
CO;DF;BRASILIA;POSTO SAÍDA SUL LTDA.; 07.210.707/0001-71;SPMS CONJUNTO J;S/N;LOTE 01 - EPIA;NÚCLEO BANDEIRANTES;71715-056;DIESEL;05/01/2009;2,14;1,9009;R$ / litro;RAIZEN
CO;DF;BRASILIA;ESTAÇÃO A COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 03.699.197/0002-78;QS-QUADRA SUL 519;S/N;CONJUNTO D - LOTE 01 E CONJUNTO E - LOTES 01/02;SAMAMBAIA;72315-580;GASOLINA;06/01/2009;2,68;;R$ / litro;CBPI
CO;DF;BRASILIA;ESTAÇÃO A COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 03.699.197/0002-78;QS-QUADRA SUL 519;S/N;CONJUNTO D - LOTE 01 E CONJUNTO E - LOTES 01/02;SAMAMBAIA;72315-580;ETANOL;06/01/2009;1,88;;R$ / litro;CBPI
CO;DF;BRASILIA;ESTAÇÃO A COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 03.699.197/0002-78;QS-QUADRA SUL 519;S/N;CONJUNTO D - LOTE 01 E CONJUNTO E - LOTES 01/02;SAMAMBAIA;72315-580;DIESEL;06/01/2009;2,04;;R$ / litro;CBPI
CO;DF;BRASILIA;AUTO POSTO DOMINGOS - COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.901.688/0001-02; SHI/SUL QI 05 AREA MILITAR VI COMAR;S/N;PARTE;LAGO SUL;71600-500;GASOLINA;05/01/2009;2,67;2,1826;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AUTO POSTO DOMINGOS - COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.901.688/0001-02; SHI/SUL QI 05 AREA MILITAR VI COMAR;S/N;PARTE;LAGO SUL;71600-500;ETANOL;05/01/2009;1,83;1,4114;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;ROCHA COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA; 04.056.374/0001-80;QUADRA QN 502 CONJUNTO 21 LOTE;1;;SAMAMBAIA;72310-321;GASOLINA;06/01/2009;2,67;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;ROCHA COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA; 04.056.374/0001-80;QUADRA QN 502 CONJUNTO 21 LOTE;1;;SAMAMBAIA;72310-321;ETANOL;06/01/2009;1,88;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;ROCHA COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA; 04.056.374/0001-80;QUADRA QN 502 CONJUNTO 21 LOTE;1;;SAMAMBAIA;72310-321;DIESEL;06/01/2009;2,09;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO MK 107 NORTE LTDA; 05.625.571/0001-35;SHC NORTE SQ 107 BLOCO A;S/N;PAG;ASA NORTE;70743-510;GASOLINA;05/01/2009;2,67;2,2709;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO MK 107 NORTE LTDA; 05.625.571/0001-35;SHC NORTE SQ 107 BLOCO A;S/N;PAG;ASA NORTE;70743-510;ETANOL;05/01/2009;1,86;1,427;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO CAPITAL LTDA; 05.468.098/0001-20;1A AVENIDA NORTE;44231;;SAMAMBAIA;72307-990;GASOLINA;06/01/2009;2,67;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO CAPITAL LTDA; 05.468.098/0001-20;1A AVENIDA NORTE;44231;;SAMAMBAIA;72307-990;ETANOL;06/01/2009;1,88;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO CAPITAL LTDA; 05.468.098/0001-20;1A AVENIDA NORTE;44231;;SAMAMBAIA;72307-990;DIESEL;06/01/2009;2,05;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;DISTRIBUIDORA BRASILIA DE VEICULOS S/A; 00.001.388/0003-07;AREA ESPECIAL N. 01 QUADRA;11;SETOR EXP ECONOMICA;SOBRADINHO;73020-411;GASOLINA;06/01/2009;2,679;;R$ / litro;RAIZEN
CO;DF;BRASILIA;DISTRIBUIDORA BRASILIA DE VEICULOS S/A; 00.001.388/0003-07;AREA ESPECIAL N. 01 QUADRA;11;SETOR EXP ECONOMICA;SOBRADINHO;73020-411;ETANOL;06/01/2009;1,879;;R$ / litro;RAIZEN
CO;DF;BRASILIA;DISTRIBUIDORA BRASILIA DE VEICULOS S/A; 00.001.388/0003-07;AREA ESPECIAL N. 01 QUADRA;11;SETOR EXP ECONOMICA;SOBRADINHO;73020-411;DIESEL;06/01/2009;2,079;;R$ / litro;RAIZEN
CO;DF;BRASILIA;POSTO PARQUE ALAMEDA DERIVADOS DE PETROLEO LTDA; 04.110.106/0001-07;QI-QUADRA INTERNA 01;S/N;LOTES 79,81 E 83;TAGUATINGA;72135-010;GASOLINA;06/01/2009;2,68;2,1824;R$ / litro;CBPI
CO;DF;BRASILIA;POSTO PARQUE ALAMEDA DERIVADOS DE PETROLEO LTDA; 04.110.106/0001-07;QI-QUADRA INTERNA 01;S/N;LOTES 79,81 E 83;TAGUATINGA;72135-010;ETANOL;06/01/2009;1,89;1,5329;R$ / litro;CBPI
CO;DF;BRASILIA;POSTO PARQUE ALAMEDA DERIVADOS DE PETROLEO LTDA; 04.110.106/0001-07;QI-QUADRA INTERNA 01;S/N;LOTES 79,81 E 83;TAGUATINGA;72135-010;DIESEL;06/01/2009;2,15;1,9095;R$ / litro;CBPI
CO;DF;BRASILIA;AUTO POSTO JK LTDA; 03.482.208/0001-82;SETOR SHC/SUL SQ 411 BLOCO B PLL S/N;S/N;ASA SUL;ASA SUL;70310-500;GASOLINA;05/01/2009;2,69;2,2271;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO JK LTDA; 03.482.208/0001-82;SETOR SHC/SUL SQ 411 BLOCO B PLL S/N;S/N;ASA SUL;ASA SUL;70310-500;ETANOL;05/01/2009;1,79;1,5034;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO JK LTDA; 03.482.208/0001-82;SETOR SHC/SUL SQ 411 BLOCO B PLL S/N;S/N;ASA SUL;ASA SUL;70310-500;DIESEL;05/01/2009;2,15;1,9995;R$ / litro;RAIZEN
CO;DF;BRASILIA;ESTAÇÃO A COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 03.699.197/0001-97;QS 614 CONJUNTO A LOTE 01;S/N;LOTE 01;SAMAMBAIA;72322-580;GASOLINA;06/01/2009;2,68;;R$ / litro;CBPI
CO;DF;BRASILIA;ESTAÇÃO A COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 03.699.197/0001-97;QS 614 CONJUNTO A LOTE 01;S/N;LOTE 01;SAMAMBAIA;72322-580;ETANOL;06/01/2009;1,89;;R$ / litro;CBPI
CO;DF;BRASILIA;ESTAÇÃO A COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 03.699.197/0001-97;QS 614 CONJUNTO A LOTE 01;S/N;LOTE 01;SAMAMBAIA;72322-580;DIESEL;06/01/2009;2,15;;R$ / litro;CBPI
CO;DF;BRASILIA;AUTO POSTO ALMENARA LTDA.; 05.299.796/0001-49;VIA NB 01 PLL;2;;NÚCLEO BANDEIRANTES;71710-300;GASOLINA;05/01/2009;2,68;2,2491;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO ALMENARA LTDA.; 05.299.796/0001-49;VIA NB 01 PLL;2;;NÚCLEO BANDEIRANTES;71710-300;ETANOL;05/01/2009;1,89;1,5034;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO ALMENARA LTDA.; 05.299.796/0001-49;VIA NB 01 PLL;2;;NÚCLEO BANDEIRANTES;71710-300;DIESEL;05/01/2009;2,09;1,952;R$ / litro;RAIZEN
CO;DF;BRASILIA;CANAÃ COMBUSTÍVEIS PARA VEÍCULOS LTDA.; 00.661.132/0002-45;QE-QUADRA EXTERNA 36 LOTE A PLL;S/N;;GUARA II;71070-680;GASOLINA;06/01/2009;2,68;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;CANAÃ COMBUSTÍVEIS PARA VEÍCULOS LTDA.; 00.661.132/0002-45;QE-QUADRA EXTERNA 36 LOTE A PLL;S/N;;GUARA II;71070-680;ETANOL;06/01/2009;1,89;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;CANAÃ COMBUSTÍVEIS PARA VEÍCULOS LTDA.; 00.661.132/0002-45;QE-QUADRA EXTERNA 36 LOTE A PLL;S/N;;GUARA II;71070-680;DIESEL;06/01/2009;2,13;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;CANAÃ COMBUSTÍVEIS PARA VEÍCULOS LTDA.; 00.661.132/0004-07;QNO 08 PLL;S/N;;CANDANGOLÂNDIA;71920-540;GASOLINA;06/01/2009;2,68;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;CANAÃ COMBUSTÍVEIS PARA VEÍCULOS LTDA.; 00.661.132/0004-07;QNO 08 PLL;S/N;;CANDANGOLÂNDIA;71920-540;ETANOL;06/01/2009;1,89;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;CANAÃ COMBUSTÍVEIS PARA VEÍCULOS LTDA.; 00.661.132/0004-07;QNO 08 PLL;S/N;;CANDANGOLÂNDIA;71920-540;DIESEL;06/01/2009;2,05;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;REX COMERCIAL DE COMBUSTIVEIS LTDA; 37.088.549/0001-90;AREA CSD AREA ESPECIAL PARA POSTO ANTIGO CINE REX;S/N;;TAGUATINGA;72020-000;GASOLINA;06/01/2009;2,68;2,2629;R$ / litro;RAIZEN
CO;DF;BRASILIA;REX COMERCIAL DE COMBUSTIVEIS LTDA; 37.088.549/0001-90;AREA CSD AREA ESPECIAL PARA POSTO ANTIGO CINE REX;S/N;;TAGUATINGA;72020-000;ETANOL;06/01/2009;1,88;1,5126;R$ / litro;RAIZEN
CO;DF;BRASILIA;REX COMERCIAL DE COMBUSTIVEIS LTDA; 37.088.549/0001-90;AREA CSD AREA ESPECIAL PARA POSTO ANTIGO CINE REX;S/N;;TAGUATINGA;72020-000;DIESEL;06/01/2009;2,099;1,9612;R$ / litro;RAIZEN
CO;DF;BRASILIA;ZITAO COMERCIO DE DERIVADOS  DO PETROLEO LTDA; 03.152.250/0001-35;SIG-SETOR DE INDÚSTRIAS GRÁFICAS SUL QUADRA 03 BLOCO I PLL;S/N;LOJA 48;ASA SUL;70610-400;GASOLINA;06/01/2009;2,67;2,1861;R$ / litro;RAIZEN
CO;DF;BRASILIA;ZITAO COMERCIO DE DERIVADOS  DO PETROLEO LTDA; 03.152.250/0001-35;SIG-SETOR DE INDÚSTRIAS GRÁFICAS SUL QUADRA 03 BLOCO I PLL;S/N;LOJA 48;ASA SUL;70610-400;ETANOL;06/01/2009;1,88;1,4374;R$ / litro;RAIZEN
CO;DF;BRASILIA;ZITAO COMERCIO DE DERIVADOS  DO PETROLEO LTDA; 03.152.250/0001-35;SIG-SETOR DE INDÚSTRIAS GRÁFICAS SUL QUADRA 03 BLOCO I PLL;S/N;LOJA 48;ASA SUL;70610-400;DIESEL;06/01/2009;2,09;1,9155;R$ / litro;RAIZEN
CO;DF;BRASILIA;CONTAGEM DERIVADOS DE PETRÓLEO LTDA.; 37.149.861/0008-12;AREA CENTRAL 3/4;S/N;LOTE 1 - RIACHOFUNDO;RIACHO FUNDO;71805-311;GASOLINA;06/01/2009;2,68;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;CONTAGEM DERIVADOS DE PETRÓLEO LTDA.; 37.149.861/0008-12;AREA CENTRAL 3/4;S/N;LOTE 1 - RIACHOFUNDO;RIACHO FUNDO;71805-311;ETANOL;06/01/2009;1,89;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;CONTAGEM DERIVADOS DE PETRÓLEO LTDA.; 37.149.861/0008-12;AREA CENTRAL 3/4;S/N;LOTE 1 - RIACHOFUNDO;RIACHO FUNDO;71805-311;DIESEL;06/01/2009;2,05;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
